Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
		m i k r o b i c i d		m i c r o b i c i d e					m i c r o b i c i d a			
				o r p i m e n t							а у р и п и г м е ́ н т	
		k o r e l a č n í   k o e f i c i e n t		c o r r e l a t i o n   c o e f f i c i e n t								
				f r e t		k u l u t t a a			c o n s u m a r e		п о ж и р а ́ т ь	
o k r a c o n s u m p t i e				o k r a		o k r a	ბ ა მ ი		b a m i a	q u i a b o	д а ́ м с к и е   п а ́ л ь ч и к и	m b a m i a
		r a d a r	f a r t f æ l d e	s p e e d   c a m e r a		p e l t i p o l i i s i			a u t o v e l o x			
				m e t e r   s t a m p		f r a n k e e r a u s l e i m a						
		s e d ě t		d o   t i m e		l u s i a					ч а ́ л и т ь с я	
				s e p u l c h e r		h a u t a k a m m i o						
				i m m u n i z a t i o n	i m u n i g o					i m u n i z a ç ã o		
				d i g e s t i v e   b i s c u i t		d i g e s t i i v i k e k s i						
				B o e o t i a n						b e ó c i o		
	চ ু ল চ ে র া   ব ি চ া র		f l u e k n e p p e r i	n i t p i c k i n g		n i u h o t t a m i n e n						
		l o t y š s k ý	l e t l a n d s k	L a t v i a n	l a t v a	l a t v i a n k i e l i n e n			l e t t o n e	l e t ã o	л а т в и ́ й с к и й	
				p a s t e l						p a s t e l	п а с т е ́ л ь	
				c r i n k l e		k a h i s t a						
				p i c t o r i a l		k u v a l l i n e n					к а р т и ́ н н ы й	
				a g n o s i s						a g n o s e		
		a n e s t e t i c k ý		a n e s t h e t i c	a n e s t e z a	a n e s t e e t t i n e n			a n e s t e t i c o	a n e s t é s i c o		
		m n o h o s t ě n n ý		p o l y h e d r a l							м н о г о г р а ́ н н ы й	
				s m o k e r y		s a v u s t a m o						
				l a m i n a		l e h t i l a p a						
				z i t	a k n e r o	f i n n i				e s p i n h a	п р ы ́ щ	
				k i t c h e n l i k e		k e i t t i ö m ä i n e n						
				s p o n s o r s h i p		s p o n s o r o i n t i				p a t r o c í n i o		
				l e v a t o r   p a l p e b r a e   s u p e r i o r i s					e l e v a t o r e   d e l l a   p a l p e b r a   s u p e r i o r e			
		v e č e ř e		d i n n e r		p ä i v ä l l i n e n				b a n q u e t e	у ́ ж и н	
				h o n e y d e w							м е д в я ́ н а я   р о с а ́	
		t e o l o g i e	R e l i g i o n s v i d e n s k a b	t h e o l o g y	d i o s c i e n c o	t e o l o g i a		ת א ו ל ו ג י ה	t e o l o g i a	t e o l o g i a	т е о л о ́ г и я	
				g e n e r a l i s t		g e n e r a l i s t i						
		m ě s í č n í k		m o n t h l y							е ж е м е ́ с я ч н и к	
		o d d ě l e n ý		s e p a r a t e		e r i l l i n e n			s e p a r a t a	s e p a r a d o	р а з д е ́ л ь н ы й	
				h y p o t h a l a m i c					i p o t a l a m i c o	h i p o t a l â m i c o		
				a s t e r i s m		a s t e r i s m i			a s t e r i s m o	a s t e r i s m o	а с т е р и ́ з м	
				m a k e   o f f							у б е г а ́ т ь	
		l e i b n i z o v s k ý		L e i b n i z i a n								
				h a l f t o n e							п о л у т о ́ н	
				w o o d   f e r n		a l v e j u u r i						
				d i s s o c i a t i v e   d i s o r d e r		d i s s o s i a a t i o h ä i r i ö						
				c o o k i n g   u t e n s i l		k e i t t o a s t i a						
			e j e r l ø s	o w n e r l e s s		o m i s t a j a t o n					б е с х о з н ы й	
				E t r u s c a n   s h r e w					m u s t i o l o	m u s a r a n h o   p i g m e u		
				r e p e n t		k a t u a					п о к а ́ я т ь с я	
		z p ě t		I   t e l l   a   l i e						m i n t o	в р а т ь	
				d r i v e		t e h d ä			r e n d e r e	d e i x a r		
				B r y t h o n i c					b r i t t o n i c o	b r i t ô n i c o		
				d o c e n t		d o s e n t t i						
		ž á k		d i s c i p l e	d i s ĉ i p l o	o p p i l a s				d i s c í p u l o	с т о р о ́ н н и к	
				a h e m		ö h ö m						
				g o o d   L o r d		j e s t a s   s e n t ä ä n						
				s p e c k l e		p i l k k u					к р а п и н к а	
			k o m p r e s s i o n	c o m p r e s s i o n		p u r i s t u s			c o m p r e s s i o n e	c o m p r e s s ã o	с ж а ́ т и е	
		f í k u s		f i c u s		f i i k u s					ф и ́ к у с	
		g o n d o l a	g o n d o l	g o n d o l a	g o n d o l o	g o n d o l i	გ ო ნ დ ო ლ ა	ג ו נ ד ו ל ה	g o n d o l a	g ô n d o l a	г о н д о ́ л а	
				v o l u n t e e r		v a p a a e h t o i n e n		מ ת נ ד ב ת		v o l u n t á r i o	в о л о н т ё р	
				a m m o n i a c a l					a m m o n i c o			
				z i l l i o n	u m i l i o n o	t s i l j o o n a				t r o c e n t o s		
			s a n d f a r v e t	s a n d		h i e k a n v ä r i n e n				a r e i a		
				t h e r m o c h e m i c a l					t e r m o c h i m i c o			
				w o r d							с л о ́ в о	
		p l i o c é n		P l i o c e n e		p l i o s e e n i k a u s i	პ ლ ი ო ც ე ნ უ რ ი   ე პ ო ქ ა					
				w a s h		k o u r u						
				b o o t		p i r a a t t i k o p i o						
d o e r i a n	দ ু র ি য ় া ন	d u r i a n	d u r i a n	d u r i a n	d u r i o	d u r i o	დ უ რ ი ო	ד ו ר י א ן	d u r i a n	d u r i o	д у р и а ́ н	d u r i a n i
e g g o		o z v ě n a	e k k o	e c h o	e ĥ o	k a i k u	გ ა მ ო ძ ა ხ ი ლ ი	ב ַ ּ ת ־ ק ו ֹ ל	e c o	e c o	о ́ т з в у к	m w a n g w i
				c a t e n a r y		k e t j u k ä y r ä						
				w a n d e r		e k s y ä			s v i c o l a r e			
				M o z a r a b						m o ç á r a b e	м о з а р а б	
				C h i n e s e   p a n g o l i n		k i i n a n m u u r a h a i s k ä p y						
		p o t k a n		b r o w n   r a t		i s o r o t t a			s u r m o l o t t o	r a t a z a n a	р ы ́ ж а я   к р ы ́ с а	
				f o o l h a r d i n e s s		h u i m a p ä i s y y s						
				h e a t h		n u m m i				c h a r n e c a	п у с т о ш ь	
				o b s t r u c t		p e i t t ä ä			o s t r u i r e	e s c o n d e r	з а с л о н я ́ т ь	
				u n i f o r m l y	u n u f o r m e				u n i f o r m e m e n t e			
				g r a t i f y		m i e l l y t t ä ä					у б л а ж и ́ т ь	
		c h c á t		w e e		p i s s i ä			p i p ì	f a z e r   x i x i	п о п и ́ с а т ь	
				k o l k h o z n i k							к о л х о ́ з н и к	
h o u   v a n	প ছ ন ্ দ   ক র া	l í b i t	s y n e s   o m	l i k e	a m i	t y k ä t ä	მ ო ს წ ო ნ ს	א ה ב	p i a c e r e	g o s t a r	л ю б и ́ т ь	k u p e n d a
		s e p s e	s e p s i s	s e p t i c e m i a		s e p t i k e m i a				s e p t i c e m i a	з а р а ж е ́ н и е   к р о ́ в и	
				p o w e r   c a r		l ä m m i t y s v a u n u						
		n e m l u v ě	f o r   i k k e   a t   n æ v n e	n o t   t o   m e n t i o n		s a a t i				s e m   f a l a r   d e	н е   г о в о р я ́   у ж е ́   о	
				t i g h t   a s   a   t i c k							в   с о п л ю   п ь я ́ н ы й	
Z o e l o e				Z u l u		z u l u			z u l ù	z u l u	з у л у ́ с с к и й	K i z u l u
				V a n d a l i c						v a n d á l i c o	в а н д а л ь с к и й	
		k o l i b ř í k		h u m m i n g b i r d	k o l i b r o	k o l i b r i			c o l i b r i	c o l i b r i	к о л и ́ б р и	
	অ ন ্ য া ন ্ য	o s t a t n í	a n d r e	o t h e r	a l i a	m u u	მ ე ო რ ე	א ַ ח ֵ ר	a l t r o	o u t r o	и н о ́ й	
		L i v e r p o o l		L i v e r p o o l						L i v e r p o o l	Л и ́ в е р п у л	
				s e i s m i c i t y		s e i s m i s y y s						
		p o h á r   t r p ě l i v o s t i   p ř e t e k l		t h e   s t r a w   t h a t   b r o k e   t h e   c a m e l ' s   b a c k		k o r s i ,   j o k a   k a t k a i s e e   k a m e l i n   s e l ä n		ה ק ש   ש ש ב ר   א ת   ג ב   ה ג מ ל	l a   g o c c i a   c h e   f a   t r a b o c c a r e   i l   v a s o	a   g o t a   q u e   t r a n s b o r d o u   o   c o p o	к а ́ п л я ,   п е р е п о ́ л н и в ш а я   ч а ́ ш у	
				a l b e d o m e t e r						a l b e d ô m e t r o		
				d i s t a n c e		e t ä ä n n y t t ä ä		ה ת ר ח ק				
		p r ý š t i t		w e l l		k u m m u t a			s g o r g a r e	v e r t e r		
				s e a l		s i n e t ö i d ä						
		o b ř í	g i g a n t i s k	g i g a n t i c	g i g a n t a	j ä t t i m ä i n e n	უ შ ვ ე ლ ე ბ ე ლ ი		g i g a n t e s c o	g i g a n t e s c o	г р о м а ́ д н ы й	
		n e j a s n ý		u n c l e a r		e p ä s e l v ä				c o n f u s o	н е п о н я ́ т н ы й	
				B a c h e l o r   o f   S c i e n c e		l u o n n o n t i e t e i d e n   k a n d i d a a t t i						
				p r e t e n d	k o m e d i i	l e i k k i ä						
s e k r e t a r i s v o ë l				s e c r e t a r y   b i r d		s i h t e e r i l i n t u				s e r p e n t á r i o	п т и ́ ц а - с е к р е т а ́ р ь	
				p u r p l e		p u r p p u r a k o t i l o						
				g e t   a w a y   w i t h					c a v a r s e l a	p a s s a r   b a t i d o	с о й т и ́   с   р у к	
				n e u r o p a t h o l o g y					n e u r o p a t o l o g i a			
		a g l o m e r a c e		a g g l o m e r a t i o n	a g l o m e r o	a g g l o m e r a a t i o				a g l o m e r a ç ã o	а г л о м е р а ́ ц и я	
				k i t e		l e i j a		ד ל ת ו ן			д е л ь т о и д	
				g e t   o n							п р и с т у п а т ь	
				A k k a l a   S a m i		a k k a l a n s a a m e						
	ম ৈ ত ্ র ে য ়   ব ু দ ্ ধ			M a i t r e y a							М а й т р е ́ я	
m i d d e	ম ধ ্ য	s t ř e d	m i d t e	m i d d l e	m e z o	k e s k u s t a	შ უ ა გ უ ლ ი	א ֶ מ ְ צ ַ ע	c e n t r o	c e n t r o	с р е д и ́ н а	
				g r o o v e d					s c a n a l a r e			
				f l a g e l l u m		s i i m a					ж г у ́ т и к	
				b o o t		o k s e t t a a						
		o d k a z	l i n k	l i n k	l i g i l o	l i n k k i	ლ ი ნ კ ი	ל י נ ק	c o l l e g a m e n t o	l i n k	л и н к	
		G r ó ň a n k a	g r ø n l æ n d e r	G r e e n l a n d e r	g r o e n l a n d a n i n o						г р е н л а ́ н д е ц	
				a n t i s t r i k e r						a n t i g r e v i s t a		
				i n f e r n a l		p i r u l l i n e n						
		z e b ř i č k a		z e b r a f i s h		s e e p r a k a l a				p e i x e - z e b r a		
				c r o w n	k r o n i	k r u u n a t a			i n c o r o n a r e	c o r o a r	у в е ́ н ч и в а т ь	k i r a u n i
				M e n c i u s		M e n g z i						
				a d o r n m e n t						a d o r n o		
				c h i l l		k y l m ä t   v ä r e e t					д р о ж ь	
				G o r e							Г о р	
				w o o d - h e w e r		h a l o n h a k k a a j a						
		d y s p r a x i e		d y s p r a x i a		d y s p r a k s i a						
				c r a b   s p i d e r							п а у ́ к - к р а б	
		o b c h o d o v á n í   s   l i d m i	m e n n e s k e h a n d e l	h u m a n   t r a f f i c k i n g		i h m i s k a u p p a		ס ַ ח ַ ר   ב ִ ּ ב ְ נ ֵ י   א ָ ד ָ ם	t r a f f i c o   d i   e s s e r i   u m a n i	t r á f i c o   d e   p e s s o a s	т р а ́ ф и к и н г	
				c r a w l e r		t e l a k e t j u t r a k t o r i					г у ́ с е н и ч н ы й   т р а ́ к т о р	
			h e d e n s k	H e a t h e n		p a k a n a l l i n e n				p a g ã o		
				s e r v i c e		a s e p a l v e l u s		ש י ר ו ת		s e r v i ç o	с л у ́ ж б а	
				a n t i c a r c i n o g e n i c						a n t i c a r c i n o g ê n i c o		
				a l l e g e		v a n n o a						
				e l e c t r o n e u r o m y o g r a p h y		e l e k t r o n e u r o m y o g r a f i a						
				r e g i o n					r e g i o n e	r e g i ã o		
		i m p é r i u m	k e j s e r r i g e	e m p i r e	i m p e r i o	v a l t a k u n t a	ი მ პ ე რ ი ა	א ִ י מ ְ פ ֶ ּ ר ְ י ָ ה	i m p e r o	i m p é r i o	ц а ́ р с т в о	
				B o d y   o f   C h r i s t							Т е ́ л о   Х р и с т о ́ в о	
				p a t i e n t		p t k ä m i e l i n e n						
				B i g   A p p l e	G r a n d a   P o m o	I s o   O m e n a	დ ი დ ი   ვ ა შ ლ ი		G r a n d e   M e l a	G r a n d e   M a ç ã	Б о л ь ш о ́ е   я ́ б л о к о	
		s p r á v n o s t		c o r r e c t n e s s		v i r h e e t t ö m y y s					п р а ́ в и л ь н о с т ь	
				c o m p e n s a t i o n		p a l k k i o	ზ ა რ ა ლ ი ს   ა ნ ა ზ ღ ა უ რ ე ბ ა					
				M i c r o n e s i a n						m i c r o n é s i o	м и к р о н е з и ́ й с к и й	
				r a k i							р а к ы ́	
				a n t i c l o n i n g						a n t i c l o n a g e m		
e s t r o g e e n		e s t r o g e n		e s t r o g e n	o e s t r o g e n o	e s t r o g e e n i			e s t r o g e n o	e s t r ó g e n o	э с т р о г е ́ н	
			h o s t i e	h o s t	h o s t i o	o b l a a t t i			o s t i a	p a r t í c u l a	о б л а т к а	
				b e a r   m e a t							м е д в е ж а ́ т и н а	
				g l a d e		s u l a						
			k o m p l e t	u t t e r		t ä y d e l l i n e n			c o m p l e t o	t o t a l	с у ́ щ и й	
				i n f i l t r a t e		s o l u t t a a						
				p i l l o w   l a v a		t y y n y l a a v a						
				m a r k e t a b l e					c o m m e r c i a b i l e			
		f o f r e m	m e d   d e t   s a m m e	p r o n t o		p i k a i s e s t i			i l   p r i m a   p o s s i b i l e		с к о ́ р о	
				e t c h		s y ö p y ä   m i e l e e n				m a r c a r		
				c h r y s o l a m i n a r i n						c r i s o l a m i n a r i n a		
				c l e a n e r		i m u r i				l i m p a d o r		
				p l e u s t o n		i r t o k e l l u j a t						
		o k r u h		r i n g		r e n g a s		ח ו ג		c o n j u n t o	к о л ь ц о ́	
		m a z l i t   s e	k n u s e	c u d d l e	k a r e s p r e m i	h a l a i l l a	გ უ ლ შ ი   ი კ რ ა ვ ს		c o c c o l a r e	a c a r i c i a r	д р у г   д р у г у	
				l a t t i c e   c o n s t a n t		h i l a v a k i o						
				e u g e n i c i s t						e u g e n i s t a		
				o u t b a c k							а у т б э к	
		k u p l í ř s t v í		p r o x e n e t i s m		p a r i t u s				p r o x e n e t i s m o		
				f e a r s o m e		p e l o t t a v a					г р о з н ы й	
		s t o u p a t   h l a s e m		u p t a l k								
				h o v e r		e p ä r ö i d ä			e s i t a r e	h e s i t a r	к о л е б а ́ т ь с я	
				u m b r e l l a		s a t e e n v a r j o						
				d i s t a s t e f u l		t ö r k e ä					о с к о р б и ́ т е л ь н ы й	k a r a h a
			o l d s p a n s k	O l d   S p a n i s h								
				c y t o p h a g y					c i t o f a g i a	c i t o f a g i a		
				b o l t   c u t t e r		v o i m a l e i k k u r i					б о л т о р е ́ з	
				t a r g e t		k i l p i					ц е л ь	l e n g w a
				g r a p h i n g   c a l c u l a t o r		g r a a f i n e n   l a s k i n						
				g e s t u r e		e l e h t i ä				g e s t i c u l a r		
		z á ř e z		c u t t i n g		l e i k k a u s						
		n e s o u m ě r n ý		l o p s i d e d		v i n o				d e s i g u a l	с к о с о б о ч е н н ы й	
		s o p r á n s a x o f o n		s o p r a n o   s a x o p h o n e		s o p r a a n o s a k s o f o n i						
				a h e a d		e d e s s ä			a v a n t i	à   f r e n t e	в п е р е д и ́	
				s t a y		n a u l a						
				u n d e r   f i r e		t u l i t u k s e s s a						
		s e x t a n t	s e k s t a n t	s e x t a n t	s e k s t a n t o	s e k s t a n t t i				s e x t a n t e	с е к с т а ́ н	
		k l í m a t		n o d	e k d o r m e t i	n u o k k u a			c a d e r e   i n   c a t a l e s s i	c a b e c e a r	д р е м а ́ т ь	
				b o y					n e g r o		ч е р н о к о ́ ж и й	m v u l a n a
		f i l o z o f i e		p h i l o s o p h y	f i l o z o f i o	f i l o s o f i a				f i l o s o f i a	ф и л о с о ́ ф и я	
			m e g a w a t t	m e g a w a t t								
		z m a n i p u l o v a t		s e t   u p		v ä ä r e n t ä ä			i n s e r i r e		п о д с т р о ́ и т ь	
			F ø r e r e n	F ü h r e r			ფ ი უ რ ე რ ი			f ü h r e r	ф ю ́ р е р	
				a m y l o p l a s t						a m i l o p l a s t o		
		r e t r o o r b i t á l n í		r e t r o - o r b i t a l								
				c o m i t i a						c o m í c i o		
				r e c e s s		v ä l i t u n t i			r i c r e a z i o n e	r e c r e i o	п е р е м е ́ н а	
		a b s u r d n ě		r i d i c u l o u s l y								
		v í t r		f l a t u s		p i e r u			f l a t o	f l a t o		
		z á v ě r		c o n c l u s i o n	k o n k l u d o	p ä ä t e l m ä			c o n c l u s i o n e	c o n c l u s ã o	з а к л ю ч е ́ н и е	
				m i s a n d r i s t	m i z a n d r o						м у ж е н е н а в и ́ с т н и ц а	
g e b o o r t e l a n d			f ø d e l a n d	h o m e l a n d		s y n n y i n m a a				t e r r a   n a t a l		
				t e t h e r b a l l					t e t h e r b a l l	e s p i r o b o l		
				b r o a d - m i n d e d l y		a v a r a k a t s e i s e s t i						
r a m p o k k e r		g a n g s t e r	b a n d e m e d l e m	g a n g s t e r	g a n g s t e r o	j e n g i l ä i n e n			m a l v i v e n t e	g â n g s t e r	р а з б о ́ й н и к	j a n g i l i
				g o o						m e l o s o	с е н т и м е н т а ́ л ь щ и н а	
		r ů z n o r o d o s t		h e t e r o g e n e i t y		h e t e r o g e e n i s y y s			e t e r o g e n e i t à	h e t e r o g e n e i d a d e	г е т е р о г е н н о с т ь	
		b ě ž n á   p r a x e		r o u t i n e		r u t i i n i		ש ג ר ה		r o t i n a	п о р я ́ д о к	
				o n   a   f u l l   s t o m a c h							н а   п о ́ л н ы й   ж е л у ́ д о к	
				r i b		p o t t u i l l a					д р а з н и ́ т ь	
				c o u p l i n g		k y t k e n t ä					з а в и ́ с и м о с т ь	
				M a n x							м э ́ н с к и й	
		T a n g a n i k a	T a n g a n y i k a s ø e n	T a n g a n y i k a	T a n g a n j i k o	T a n g a n j i k a j ä r v i	ტ ა ნ გ ა ნ ი ი კ ა	א ג ם   ט נ ג נ י י ק ה	L a g o   T a n g a n i c a	L a g o   T a n g a n i c a	Т а н г а н ь и ́ к а	T a n g a n y i k a
				c y b e r n e t i c s		a u t o m a a t i o t u t k i m u s	კ ი ბ ე რ ნ ე ტ ი კ ა		c i b e r n e t i c a	c i b e r n é t i c a	к и б е р н е ́ т и к а	
		r a j s k á   o m á č k a		t o m a t o   s a u c e						m o l h o   d e   t o m a t e	т о м а ́ т н ы й   с о ́ у с	
			e t   æ b l e   o m   d a g e n	a n   a p p l e   a   d a y					u n a   m e l a   a l   g i o r n o			
				r e c k o n i n g		t i l i n t e k o					р а с п л а ́ т а	
				r a n k		h a i s e v a			p u z z o l e n t e	r a n ç o s o	п р о г о ́ р к л ы й	
		k a k a o v n í k	k a k a o	c a c a o		k a a k a o p u u	კ ა კ ა ო	ק ָ ק ָ א ו ֹ	c a c a o	c a c a u e i r o	к а к а ́ о	
			n u l t o l e r a n c e	z e r o   t o l e r a n c e	n u l a   t o l e r e m o	n o l l a t o l e r a n s s i					н у л е в а ́ я   т о л е р а ́ н т н о с т ь	
				I ' v e   b u r n e d   m y s e l f			თ ა ვ ი   დ ა ვ ი წ ვ ი		m i   s o n o   b r u c i a t a	m e   q u e i m e i	я   о б о ж г л а ́ с ь	
				m i s s t e p		h a i r a h t u a						
				l o o n		l u s m u						
				a l l   o u t		t ä y s i l l ä						
		o r t o p e d i e		o r t h o p e d i c s		o r t o p e d i a				o r t o p e d i a	о р т о п е ́ д и я	
				r e s o n a n c e							р е з о н а ́ н с	
				C a l i f o r n i a   c o n d o r		k a l i f o r n i a n k o n d o r i						
				A f r i c a n   c r a k e							а ф р и к а ́ н с к и й   к о р о с т е ́ л ь	
				b i c i p i t a l							д в у г л а ́ в ы й	
v e r s n e l l i n g s m e t e r				a c c e l e r o m e t e r		k i i h t y v y y s a n t u r i	ა ქ ს ე ლ ე რ ო მ ე ტ რ ი			a c e l e r ô m e t r o	а к с е л е р о ́ м е т р	
		s t r h a t	h u d f l e t t e	e x c o r i a t e		s ä t t i ä					г р о м и ́ т ь	
				s e n t i m e n t a l i s t						s e n t i m e n t a l i s t a		
				a n t i p a e d o p h i l e						a n t i p e d o f i l i a		
				j a c u z z i		p o r e a m m e					г и д р о м а с с а ́ ж н а я   в а ́ н н а	
			k ø k k e n b o r d	c o u n t e r		t y ö t a s o				b a l c ã o		
				c o u n t   d o w n	d e k a l k u l i	l a s k e a						
		p o p e l á ř		g a r b a g e   c o l l e c t o r		r o s k a k u s k i			o p e r a t o r e   e c o l o g i c o	l i x e i r o	м у ́ с о р щ и ц а	
				g a l l e y							н а б о ́ р н а я   д о ́ с к а	
		S v a t o d u š n í   s v á t k y	p i n s e	P e n t e c o s t		h e l l u n t a i	ს უ ლ თ მ ო ფ ე ნ ო ბ ა		P e n t e c o s t e	P e n t e c o s t e	д е н ь   С в я т о ́ й   Т р о ́ и ц ы	
				h a r r o w i n g		t u s k a i s a		מ י י ס ר	s t r a z i a n t e	p e r t u r b a d o r	д у ш е р а з д и р а ́ ю щ и й	
		p e p ř e n k a		p e p p e r   s h a k e r		p i p p u r i s i r o t i n			p e p i e r a	p i m e n t e i r o	п е ́ р е ч н и ц а	
				c o n t i n g e n t						c o n t i n g ê n c i a	к о н т и н г е ́ н т	
				H a n   C h i n e s e		h a n - k i i n a l a i n e n				h a n	х а ́ н ь с к и й	
				d o u b l e   b a r r e l   v a u l t					v o l t a   a   c r o c i e r a			
				o x y h y d r o g e n					o s s i d r i c o			
			b i o m e d i c i n s k	b i o m e d i c a l						b i o m é d i c a	б и о м е д и ц и ́ н с к и й	
				w r i t e   o f f		a l a s k i r j a t a					с п и с а ́ т ь	
				p a p e r		k u r s s i						
				q u a d r a g e s i m a l					q u a d r a g e s i m a l e			
				g l a z e	g l a z u r o	l a s i t e				g l a c ê	г л а з у ́ р ь	
			f e m i n o l o g i	f e m i n o l o g y								
				f a r		k a u k a i n e n	მ ო გ ვ ი ა ნ ე ბ ი თ ი					
				s u l f u r i c		r i k k i			s o l f o r i c o	s u l f ú r i c o	с е ́ р н ы й	
				i n v e r s e		k ä ä n t e i s a r v o						
				p a s t e l		p a s t e l l i l i i t u	პ ა ს ტ ე ლ ი			p a s t e l	п а с т е ́ л ь	
			f o r d a n s k e	D a n i c i z e		t a n s k a l a i s t a a						
				a l b a t r o s s		r a s i t e						
				f l i g h t   p a t h		l e n t o r a t a						
				p o l i t i c a l   c o n s u m e r i s m		e e t t i n e n   k u l u t t a m i n e n						
				g r a d e r		l u o k k a l a i n e n			s t u d e n t e		- к л а ́ с с н и ц а	
				E d i s o n							Э д и с о н	
				a s t o m a t i c					a s t o m a t i c o			
				p o w d e r   c a p		h a p e r o n v i e r a s						
			j æ g e r	h u n t e r					c e r c a t r i c e			
				A l b i g e n s e s		a l b i g e n s s i t						
				a n e c d o t a l						a n e d ó t i c o	н е с и с т е м а т и ́ ч е с к и й	
				a b s i n t h i c						a b s í n t i c o		
			r y g e	f u m e		h ö y r y t ä				f u m e g a r		
		v o l t a i r o v e c		V o l t a i r e a n								
				c r e s t		t ö y h t ö			c r e s t a	c r i s t a	п л ю м а ́ ж	
				r o u n d		p u l s k a			r o t o n d o	r o l i ç o	п о ́ л н ы й	
				r i g h t		o i e t a				e n d i r e i t a r - s e	в ы р о в н и т ь с я	
		a n a b á z e		a n a b a s i s						a n á b a s e	п о х о ́ д	
				i o d i n e						i o d o	и о ́ д	
				t r a n s m u t e		m u u t t u a						
				g r o w i n g   p a i n s		k a s v u k i p u						
		m a n d a r í n		m a n d a r i n		a u r i n k o k u n i n g a s						
				p r i l l i n g							з е р н е ́ н и е	
				t r i j e t							т р ё х м о т о р н и к	
				u t m o s t				מ ק ס י מ ו ם				
				d a m n a t i o   m e m o r i a e						d a m n a t i o   m e m o r i a e		
				a n c i e n   r é g i m e						a n c i e n   r é g i m e		
				d e a f e n		ä ä n i e r i s t ä ä					п р и г л у ш и ́ т ь	
		p r o h l í ž e t   s i		v i e w	r i g a r d i	v i l k a i s t a			g u a r d a r e	v e r	в и ́ д е т ь	
				t i n   e a r		p e l t i k o r v a					м е д в е ́ д ь   н а   у ́ х о   н а с т у п и ́ л	
				b o t t o m s   u p	e l t r i n k u	P o h j a n m a a n   k a u t t a				t c h i m - t c h i m	п е й   д о   д н а ́	
G a l a s i ë r s		G a l a t s k ý m	G a l a t e r b r e v e t	G a l a t i a n s		G a l a t a l a i s k i r j e			G a l a t i	G á l a t a s	П о с л а ́ н и е   к   Г а л а ́ т а м	
				E u r o p o p							е в р о п е ́ й с к а я   п о п - м у ́ з ы к а	
				a l i s o l		a l u s a v i m a a n n o s				a l i s s o l o		
				p u b l i c   p o l i c y		y h t e i s k u n t a j ä r j e s t y s	ს ა ჯ ა რ ო   პ ო ლ ი ტ ი კ ა					
				t h e r m o d y n a m i c		t e r m o d y n a a m i n e n						
				L u w i a n		l u u v i l a i n e n						
				s m a c k - d a b							п р я ́ м о	
				l e x i c o s t a t i s t i c s							л е к с и к о с т а т и с т и к а	
		b i o g r a f i c k ý		b i o g r a p h i c a l		e l ä m ä k e r r a l l i n e n			b i o g r a f i c o	b i o g r á f i c o	б и о г р а ф и ́ ч е с к и й	
		p i l o v a t		f i l e	f a j l i	v i i l a t a			l i m a r e	l i m a r	ш л и ф о в а ́ т ь	
				b l i s t e r   b e e t l e		t o u k o h ä r k ä						
				s e e   o f f		u l o s					п р о в о д и ́ т ь	
		n i s a n		N i s a n				נ ִ י ס ָ ן				
				a c t i o n   m o v i e		t o i m i n t a e l o k u v a					э к ш н	
				f a l l a l e r y							б и ж у т е ́ р и я	
				a m a l g a m a t i o n						a m a l g a m a ç ã o		
				v i t i a t e		p i l a t a					и с п о ́ р т и т ь	
				m o l d		m u o k k a u t u a						
				g e t   o n t o		l ä k s y t t ä ä						
				A l m e r í a						A l m e r i a		
				d e b a u c h	d i b o ĉ i	t u r m e l e m i n e n					р а з г у ́ л	
				a m e b i c i d e						a m e b i c i d a		
				d o r m i t i v e   p r i n c i p l e		v i r t u s   d o r m i t i v a				p r i n c í p i o   d o r m i t i v o	с н о т в о ́ р н ы й   п р и ́ н ц и п	
				s o c i a l   c l a s s		y h t e i s k u n t a l u o k k a			c l a s s e   s o c i a l e	c l a s s e   s o c i a l		
				b l o w   o u t		p u h k e t a						
				s c r i p t   s u p e r v i s o r		k u v a u s s i h t e e r i						
J i d d i s j		J i d i š	j i d d i s c h	Y i d d i s h		j i d d i š i n k i e l i n e n		א ִ י ד ִ י ש ָ ׁ א ִ י	y i d d i s h	i í d i c h e	и ́ д и ш	
				a s s i m i l a t i o n		r u o a n s u l a t u s				a s s i m i l a ç ã o	у с в о е ́ н и е	
				f a l l e n		p u d o n n u t					у п а ́ в ш и й	
				a p o f e r m e n t					a p o f e r m e n t o			
		c h e m i c k á   r e a k c e		c h e m i c a l   r e a c t i o n		k e m i a l l i n e n   r e a k t i o			r e a z i o n e   c h i m i c a	r e a ç ã o   q u í m i c a	х и м и ́ ч е с к а я   р е а ́ к ц и я	
			s i l d e m å g e	l e s s e r   b l a c k - b a c k e d   g u l l		s e l k ä l o k k i						
	হ স ন ্ ত			k i l l e r								
		b ř i š n í   t y f u s		t y p h o i d   f e v e r		l a v a n t a u t i			f e b b r e   t i f o i d e	f e b r e   t i f o i d e	б р ю ш н о ́ й   т и ф	
				u n p a i d			დ ა უ ფ ა რ ა ვ ი				н е о п л а ́ ч е н н ы й	
				a u d i o   g u i d e					a u d i o g u i d a	a u d i o g u i a		
				t h e s i s   d e f e n s e		v ä i t ö s t i l a i s u u s						
