Orthography	Segments
W I L F R E D A	w ɪ l f ɹ ɪ d ɑ
W I L F R E D O	w ɪ l f eɪ d oʊ
W I L F R I D	w ɪ l f ɹ ɪ d
W I L F R I E D	w ɪ l f ɹ i d
W I L F U L L Y	w ɪ l f ʌ l i
W I L G U S	w ɪ l ɡ ʌ s
W I L H A M	w ɪ l h ʌ m
W I L H E L M	w ɪ l h ɛ l m
W I L H E L M A	w ɪ l h ɛ l m ʌ
W I L H E L M I	w ɪ l h ɛ l m i
W I L H E L M I N A	w ɪ l h ɛ l m i n ɑ
W I L H E L M I N E	w ɪ l h ɪ l m ɪ n
W I L H E L M S	w ɪ l h ɛ l m z
W I L H E L M S E N	w ɪ l h ɪ l m s ʌ n
W I L H E L M Y	w ɪ l h ɪ l m i
W I L H E M I N A	w ɪ l h ɛ m i n ɑ
W I L H I D E	w ɪ l h aɪ d
W I L H I T E	w ɪ l h aɪ t
W I L H O I T	w ɪ l h ɔɪ t
W I L H O I T E	w ɪ l h ɔɪ t
W I L I A M S	w ɪ l i ʌ m z
W I L I N G	w aɪ l ɪ ŋ
W I L I N S K I	v ɪ l ɪ n s k i
W I L K	w ɪ l k
W I L K E	w ɪ l k
W I L K E N	w ɪ l k ʌ n
W I L K E N I N G	w ɪ l k ʌ n ɪ ŋ
W I L K E N S	w ɪ l k ʌ n z
W I L K E N S O N	w ɪ l k ɪ n s ʌ n
W I L K E R	w ɪ l k ɝ
W I L K E R S O N	w ɪ l k ɝ s ʌ n
W I L K E S	w ɪ l k s
W I L K E S B O R O	w ɪ l k s b ɝ oʊ
W I L K E Y	w ɪ l k i
W I L K I E	w ɪ l k i
W I L K I N	w ɪ l k ɪ n
W I L K I N G	w ɪ l k ɪ ŋ
W I L K I N S	w ɪ l k ɪ n z
W I L K I N S O N	w ɪ l k ʌ n s ʌ n
W I L K I N S O N	w ɪ l k ɪ n s ʌ n
W I L K I N S O N S	w ɪ l k ɪ n s ʌ n z
W I L K I S	w ɪ l k ɪ s
W I L K I S O N	w ɪ l k ɪ s ʌ n
W I L K O W S K I	v ɪ l k ɔ f s k i
W I L K S	w ɪ l k s
W I L L	w ɪ l
W I L L	w ʌ l
W I L L S	w ɪ l z
W I L L A	w ɪ l ʌ
W I L L A B E L L E	w ɪ l ʌ b ɛ l
W I L L A D S E N	w ɪ l æ d s ʌ n
W I L L A I M S	w ɪ l ʌ m z
W I L L A M	w ɪ l ʌ m
W I L L A M E T T E	w ʌ l æ m ʌ t
W I L L A M E T T E	w ɪ l ʌ m ɛ t
W I L L A M E T T E S	w ʌ l æ m ʌ t s
W I L L A M E T T E S	w ɪ l ʌ m ɛ t s
W I L L A M I N A	w ɪ l ʌ m aɪ n ʌ
W I L L A P A	w ɪ l ɑ p ʌ
W I L L A P A S	w ɪ l ɑ p ʌ z
W I L L A R D	w ɪ l ɝ d
W I L L B A N K S	w ɪ l b æ ŋ k s
W I L L C O X	w ɪ l k ɑ k s
W I L L C U T T	w ɪ l k ʌ t
W I L L D E N	w ɪ l d ʌ n
W I L L E	w ɪ l
W I L L E D	w ɪ l d
W I L L E F O R D	w ɪ l ɪ f ɝ d
W I L L E F O R D	w ɪ l f ɝ d
W I L L E M	w ɪ l ʌ m
W I L L E M S	w ɪ l ʌ m z
W I L L E M S E N	w ɪ l ɛ m s ʌ n
W I L L E M S E N	w ɪ l ʌ m s ʌ n
W I L L E N	w ɪ l ʌ n
W I L L E N B O R G	w ɪ l ɪ n b ɔ ɹ ɡ
W I L L E N B R I N G	w ɪ l ʌ n b ɹ ɪ ŋ
W I L L E N S	w ɪ l ʌ n z
W I L L E R	w ɪ l ɝ
W I L L E R S	w ɪ l ɝ z
W I L L E R T	w ɪ l ɝ t
W I L L E S	w aɪ l z
W I L L E T	w ɪ l ɪ t
W I L L E T S	w ɪ l ɪ t s
W I L L E T T	w ɪ l ɪ t
W I L L E T T E	w ɪ l ɛ t
W I L L E T T S	w ɪ l ɪ t s
W I L L E Y	w ɪ l i
W I L L F O R D	w ɪ l f ɝ d
W I L L F U L	w ɪ l f ʌ l
W I L L F U L L Y	w ɪ l f ʌ l i
W I L L H E L M	w ɪ l h ɛ l m
W I L L H I T E	w ɪ l h aɪ t
W I L L H O I T	w ɪ l h ɔɪ t
W I L L H O I T E	w ɪ l h ɔɪ t
W I L L I	w ɪ l i
W I L L I A M	w ɪ l j ʌ m
W I L L I A M S	w ɪ l j ʌ m z
W I L L I A M S	w ɪ l j ʌ m z
W I L L I A M S	w ɪ l j ʌ m z
W I L L I A M S S	w ɪ l j ʌ m z ɪ z
W I L L I A M S B U R G	w ɪ l j ʌ m z b ɝ ɡ
W I L L I A M S B U R G H	w ɪ l j ʌ m z b ɝ ɡ
W I L L I A M S E N	w ɪ l j ʌ m s ʌ n
W I L L I A M S O N	w ɪ l j ʌ m s ʌ n
W I L L I A M S O N S	w ɪ l j ʌ m s ʌ n z
W I L L I A M S P O R T	w ɪ l j ʌ m s p ɔ ɹ t
W I L L I A M S T O W N	w ɪ l j ʌ m s t aʊ n
W I L L I A R D	w ɪ l j ɑ ɹ d
W I L L I E	w ɪ l i
W I L L I E S	w ɪ l i z
W I L L I F O R D	w ɪ l ɪ f ɝ d
W I L L I G	w ɪ l ɪ ɡ
W I L L I N G	w ɪ l ɪ ŋ
W I L L I N G E R	w ɪ l ɪ ŋ ɝ
W I L L I N G H A M	w ɪ l ɪ ŋ h æ m
W I L L I N G L Y	w ɪ l ɪ ŋ l i
W I L L I N G N E S S	w ɪ l ɪ ŋ n ʌ s
W I L L I S	w ɪ l ɪ s
W I L L I S S	w ɪ l ɪ s ɪ z
W I L L I S O N	w ɪ l ɪ s ʌ n
W I L L I S T O N	w ɪ l ɪ s t ɑ n
W I L L I T S	w ɪ l ɪ t s
W I L L K E	w ɪ l k i
W I L L K I E	w ɪ l k i
W I L L M A N	w ɪ l m ʌ n
W I L L M A N N	w ɪ l m ʌ n
W I L L M O N	w ɪ l m ʌ n
W I L L M O R E	w ɪ l m ɔ ɹ
W I L L M O T T	w ɪ l m ʌ t
W I L L M S	w ɪ l m z
W I L L N E R	w ɪ l n ɝ
W I L L O C K	w ɪ l ʌ k
W I L L O U G H B Y	w ɪ l ʌ b i
W I L L O W	w ɪ l oʊ
W I L L O W B R O O K	w ɪ l oʊ b ɹ ʊ k
W I L L O W E S	w ɪ l oʊ z
W I L L O W S	w ɪ l oʊ z
W I L L O W Y	w ɪ l ʌ w i
W I L L P O W E R	w ɪ l p aʊ ɝ
W I L L S	w ɪ l z
W I L L S E	w ɪ l s i
W I L L S E Y	w ɪ l s i
W I L L S O N	w ɪ l s ʌ n
W I L L W E R T H	w ɪ l w ɝ θ
W I L L Y	w ɪ l i
W I L L Y A R D	w ɪ l j ɑ ɹ d
W I L M A	w ɪ l m ʌ
W I L M A R	w ɪ l m ɝ
W I L M A R T H	w ɪ l m ɑ ɹ θ
W I L M E R	w ɪ l m ɝ
W I L M E S	w ɪ l m z
W I L M E T	w ɪ l m ɪ t
W I L M E T H	w ɪ l m ɪ θ
W I L M E T T E	w ɪ l m ɛ t
W I L M I N G T O N	w ɪ l m ɪ ŋ t ʌ n
W I L M O R E	w ɪ l m ɔ ɹ
W I L M O T	w ɪ l m ʌ t
W I L M O T H	w ɪ l m ʌ θ
W I L M O T T	w ɪ l m ʌ t
W I L M O U T H	w ɪ l m aʊ θ
W I L M S	w ɪ l m z
W I L M U T	w ɪ l m ʌ t
W I L N E R	w ɪ l n ɝ
W I L P O N	w ɪ l p ɑ n
W I L S E Y	w ɪ l s i
W I L S H I R E	w ɪ l ʃ aɪ ɹ
W I L S H U S E N	w ɪ l ʃ u s ʌ n
W I L S O N	w ɪ l s ʌ n
W I L S O N S	w ɪ l s ʌ n z
W I L T	w ɪ l t
W I L T E D	w ɪ l t ɪ d
W I L T E L	w ɪ l t ɛ l
W I L T F O N G	w ɪ l t f ɔ ŋ
W I L T G E N	w ɪ l t ɡ ʌ n
W I L T H E W	w ɪ l θ j u
W I L T I N G	w ɪ l t ɪ ŋ
W I L T O N	w ɪ l t ʌ n
W I L T R O N	w ɪ l t ɹ ʌ n
W I L T R O U T	w ɪ l t ɹ aʊ t
W I L T S	w ɪ l t s
W I L T S E	w ɪ l t s
W I L T S E Y	w ɪ l t s i
W I L T S H I R E	w ɪ l tʃ aɪ ɹ
W I L T S I E	w ɪ l t s i
W I L T Z	w ɪ l t s
W I L Y	w aɪ l i
W I M A N	w aɪ m ʌ n
W I M B E R L E Y	w ɪ m b ɝ l i
W I M B E R L Y	w ɪ m b ɝ l i
W I M B I S H	w ɪ m b ɪ ʃ
W I M B L E D O N	w ɪ m b ʌ l d ʌ n
W I M B L E Y	w ɪ m b l i
W I M B U S H	w ɪ m b ʌ ʃ
W I M B U S H	w ɪ m b ʊ ʃ
W I M E R	w aɪ m ɝ
W I M M E R	w ɪ m ɝ
W I M P	w ɪ m p
W I M P E E	w ɪ m p i
W I M P I N E S S	w ɪ m p i n ʌ s
W I M P S	w ɪ m p s
W I M P Y	w ɪ m p i
W I M S	w ɪ m z
W I M S A T T	w ɪ m s ʌ t
W I N	w ɪ n
W I N S	w ɪ n z
W I N W I N	w ɪ n w ɪ n
W I N A M A C	w ɪ n ʌ m æ k
W I N A M A C S	w ɪ n ʌ m æ k s
W I N A N S	w ɪ n ʌ n z
W I N A N S S	w ɪ n ʌ n z ɪ z
W I N A N T	w aɪ n ʌ n t
W I N B E R G	w ɪ n b ɝ ɡ
W I N B E R R Y	w ɪ n b ɛ ɹ i
W I N B O R N	w ɪ n b ɝ n
W I N B O R N E	w ɪ n b ɝ n
W I N B U R N	w ɪ n b ɝ n
W I N B U S H	w ɪ n b ʊ ʃ
W I N C E	w ɪ n s
W I N C E D	w ɪ n s t
W I N C E K	w ɪ n s ɪ k
W I N C H	w ɪ n tʃ
W I N C H E L	w ɪ n k ʌ l
W I N C H E L L	w ɪ n tʃ ʌ l
W I N C H E L L S	w ɪ n tʃ ʌ l z
W I N C H E S T E R	w ɪ n tʃ ɛ s t ɝ
W I N C I N G	w ɪ n s ɪ ŋ
W I N C K L E R	w ɪ ŋ k l ɝ
W I N D	w aɪ n d
W I N D	w ɪ n d
W I N D S	w ɪ n d z
W I N D C H I L L	w ɪ n d tʃ ɪ l
W I N D C H I M E	w ɪ n d tʃ aɪ m
W I N D C H I M E S	w ɪ n d tʃ aɪ m z
W I N D E C K E R	w ɪ n d ɛ k ɝ
W I N D E D	w ɪ n d ɪ d
W I N D E D	w aɪ n d ɪ d
W I N D E L L	w ɪ n d ʌ l
W I N D E L S	w ɪ n d ʌ l z
W I N D E R	w ɪ n d ɝ
W I N D E R	w aɪ n d ɝ
W I N D E R S	w ɪ n d ɝ z
W I N D E R S	w aɪ n d ɝ z
W I N D E S	w ɪ n d z
W I N D E S	w aɪ n d z
W I N D F A L L	w ɪ n d f ɔ l
W I N D F A L L S	w ɪ n d f ɔ l z
W I N D H A M	w ɪ n d ʌ m
W I N D H E I M	w ɪ n d h aɪ m
W I N D H O E K	w ɪ n d h oʊ k
W I N D H O L Z	w ɪ n d h oʊ l z
W I N D H O R S T	w ɪ n d h ɔ ɹ s t
W I N D I N G	w aɪ n d ɪ ŋ
W I N D I S C H	w ɪ n d ɪ ʃ
W I N D I S H	w ɪ n d ɪ ʃ
W I N D L A S S	w ɪ n d l ʌ s
W I N D L E	w ɪ n d ʌ l
W I N D L E R	w ɪ n d l ɝ
W I N D L E Y	w ɪ n d l i
W I N D M E R E	w ɪ n d m ɪ ɹ
W I N D M E R E S	w ɪ n d m ɪ ɹ z
W I N D M I L L	w ɪ n d m ɪ l
W I N D M I L L E R	w ɪ n d m ɪ l ɝ
W I N D M I L L S	w ɪ n d m ɪ l z
W I N D O M	w ɪ n d ʌ m
W I N D O N	w ɪ n d ʌ n
W I N D O W	w ɪ n d oʊ
W I N D O W E D	w ɪ n d oʊ d
W I N D O W L E S S	w ɪ n d oʊ l ʌ s
W I N D O W P A N E	w ɪ n d oʊ p eɪ n
W I N D O W P A N E S	w ɪ n d oʊ p eɪ n z
W I N D O W S	w ɪ n d oʊ z
W I N D S	w ɪ n d z
W I N D S	w aɪ n d z
W I N D S H I E L D	w ɪ n d ʃ i l d
W I N D S H I E L D S	w ɪ n d ʃ i l d z
W I N D S O R	w ɪ n z ɝ
W I N D S O R S	w ɪ n z ɝ z
W I N D S O R S	w ɪ n z ɝ z
W I N D S P E E D	w ɪ n d s p i d
W I N D S T A R	w ɪ n d s t ɑ ɹ
W I N D S T A R S	w ɪ n d s t ɑ ɹ z
W I N D S T O R M	w ɪ n d s t ɔ ɹ m
W I N D S W E P T	w ɪ n s w ɛ p t
W I N D T	w ɪ n t
W I N D U P	w aɪ n d ʌ p
W I N D W A R D	w ɪ n d w ɝ d
W I N D Y	w ɪ n d i
W I N D Y	w aɪ n d i
W I N E	w aɪ n
W I N E S	w aɪ n z
W I N E B A R G E R	w ɪ n ɪ b ɑ ɹ ɡ ɝ
W I N E B E R G	w aɪ n b ɝ ɡ
W I N E B R E N N E R	w ɪ n ɪ b ɹ ɪ n ɝ
W I N E C O F F	w ɪ n ɪ k ɔ f
W I N E D	w aɪ n d
W I N E G A R	w ɪ n ɪ ɡ ɝ
W I N E G A R D E N	w aɪ n ɡ ɑ ɹ d ʌ n
W I N E G A R D N E R	w ɪ n ɪ ɡ ɑ ɹ d n ɝ
W I N E H E I M	w aɪ n h aɪ m
W I N E I N G E R	w aɪ n ɪ ŋ ɝ
W I N E L A N D	w aɪ n l ʌ n d
W I N E L A N D	w ɪ n ɪ l ʌ n d
W I N E M A	w ɪ n ɪ m ʌ
W I N E M A N	w aɪ n m ʌ n
W I N E M I L L E R	w aɪ n m ɪ l ɝ
W I N E R	w aɪ n ɝ
W I N E R I E S	w aɪ n ɝ i z
W I N E R Y	w aɪ n ɝ i
W I N E R Y S	w aɪ n ɝ i z
W I N E S	w aɪ n z
W I N E Y	w aɪ n i
W I N F I E L D	w ɪ n f i l d
W I N F O R D	w ɪ n f ɝ d
W I N F R E D	w ɪ n f ɹ ɪ d
W I N F R E E	w ɪ n f ɹ i
W I N F R E Y	w ɪ n f ɹ i
W I N F R I D	w ɪ n f ɹ ɪ d
W I N G	w ɪ ŋ
W I N G S	w ɪ ŋ z
W I N G A R D	w ɪ ŋ ɡ ɝ d
W I N G A T E	w ɪ n ɡ eɪ t
W I N G B A C K	w ɪ ŋ b æ k
W I N G E	w ɪ n dʒ
W I N G E D	w ɪ ŋ d
W I N G E R	w ɪ ŋ ɝ
W I N G E R S	w ɪ ŋ ɝ z
W I N G E R T	w ɪ ŋ ɡ ɝ t
W I N G E R T E R	w ɪ ŋ ɡ ɝ t ɝ
W I N G E T	w ɪ ŋ ɡ ɪ t
W I N G E T T	w ɪ ŋ ɡ ɪ t
W I N G F I E L D	w ɪ ŋ f i l d
W I N G I N G	w ɪ ŋ ɪ ŋ
W I N G L E R	w ɪ ŋ ɡ ʌ l ɝ
W I N G L E R	w ɪ ŋ ɡ l ɝ
W I N G L I K E	w ɪ ŋ l aɪ k
W I N G M A N	w ɪ ŋ m ʌ n
W I N G O	w i ŋ ɡ oʊ
W I N G R O V E	w ɪ n ɡ ɹ oʊ v
W I N G S	w ɪ ŋ z
W I N G S	w ɪ ŋ z
W I N G S P A N	w ɪ ŋ s p æ n
W I N I A R S K I	v ɪ n i ɑ ɹ s k i
W I N I C K	w ɪ n ɪ k
W I N I E C K I	v ɪ n i t s k i
W I N I F R E D	w ɪ n ɪ f ɹ ɪ d
W I N I K	w ɪ n ɪ k
W I N I N G	w aɪ n ɪ ŋ
W I N I N G E R	w aɪ n ɪ ŋ ɝ
W I N I N G S	w aɪ n ɪ ŋ z
W I N K	w ɪ ŋ k
W I N K E D	w ɪ ŋ k t
W I N K E L	w ɪ ŋ k ʌ l
W I N K E L M A N	w ɪ ŋ k ʌ l m ʌ n
W I N K E L M A N N	w ɪ ŋ k ʌ l m ʌ n
W I N K E L S	w ɪ ŋ k ʌ l z
W I N K E R	w ɪ ŋ k ɝ
W I N K F I E L D	w ɪ ŋ k f i l d
W I N K I N G	w ɪ ŋ k ɪ ŋ
W I N K L E	w ɪ ŋ k ʌ l
W I N K L E M A N	w ɪ ŋ k ʌ l m ʌ n
W I N K L E R	w ɪ ŋ k l ɝ
W I N K L E S	w ɪ ŋ k ʌ l z
W I N K L E Y	w ɪ ŋ k l i
W I N K O W S K I	v ɪ ŋ k ɔ f s k i
W I N K S	w ɪ ŋ k s
W I N L A N D	w ɪ n l ʌ n d
W I N N	w ɪ n
W I N N A B L E	w ɪ n ʌ b ʌ l
W I N N E	w ɪ n
W I N N E B A G O	w ɪ n ʌ b eɪ ɡ oʊ
W I N N E B A G O S	w ɪ n ʌ b eɪ ɡ oʊ z
W I N N E R	w ɪ n ɝ
W I N N E R S	w ɪ n ɝ z
W I N N E R S	w ɪ n ɝ z
W I N N E R S	w ɪ n ɝ z
W I N N E T K A	w ɪ n ɛ t k ʌ
W I N N E T T	w ɪ n ɪ t
W I N N E Y	w ɪ n i
W I N N I C K	w ɪ n ɪ k
W I N N I C K I	v ɪ n ɪ t s k i
W I N N I E	w ɪ n i
W I N N I N G	w ɪ n ɪ ŋ
W I N N I N G E S T	w ɪ n ɪ ŋ ʌ s t
W I N N I N G H A M	w ɪ n ɪ ŋ h æ m
W I N N I N G S	w ɪ n ɪ ŋ z
W I N N I P E G	w ɪ n ɪ p ʌ ɡ
W I N N O W	w ɪ n oʊ
W I N N O W E D	w ɪ n oʊ d
W I N N O W I N G	w ɪ n oʊ ɪ ŋ
W I N N Y	w ɪ n i
W I N O	w i n oʊ
W I N O G R A D	w ɪ n ʌ ɡ ɹ æ d
W I N O K U R	w ɪ n ʌ k ɝ
W I N O L A	v ɪ n oʊ l ʌ
W I N O N A	w ɪ n ʌ n ʌ
W I N O N A H	w ɪ n ʌ n ʌ
W I N O O S K I	w ɪ n u s k i
W I N O S	w i n oʊ s
W I N Q U I S T	w ɪ n k w ɪ s t
W I N S	w ɪ n z
W I N S E T T	w ɪ n s ɪ t
W I N S H I P	w ɪ n ʃ ɪ p
W I N S K I	w ɪ n s k i
W I N S L E T	w ɪ n s l ɪ t
W I N S L E T S	w ɪ n s l ɪ t s
W I N S L E T T	w ɪ n s l ɪ t
W I N S L O W	w ɪ n z l oʊ
W I N S O M E	w ɪ n s ʌ m
W I N S O N	w ɪ n s ʌ n
W I N S O R	w ɪ n z ɝ
W I N S T A N L E Y	w ɪ n s t ʌ n l i
W I N S T E A D	w ɪ n s t ɛ d
W I N S T O N	w ɪ n s t ʌ n
W I N T	w ɪ n t
W I N T E R	w ɪ n t ɝ
W I N T E R S	w ɪ n t ɝ z
W I N T E R B E R G	w ɪ n t ɝ b ɝ ɡ
W I N T E R B O U R N E	w ɪ n t ɝ b ɔ ɹ n
W I N T E R E D	w ɪ n t ɝ d
W I N T E R G R E E N	w ɪ n t ɝ ɡ ɹ i n
W I N T E R H A L T E R	w ɪ n t ɝ h ɔ l t ɝ
W I N T E R I Z E	w ɪ n t ɝ aɪ z
W I N T E R I Z E D	w ɪ n t ɝ aɪ z d
W I N T E R M U T E	w ɪ n t ɝ m j u t
W I N T E R R O W D	w ɪ n t ɝ aʊ d
W I N T E R S	w ɪ n t ɝ z
W I N T E R S H A L L	w ɪ n t ɝ ʃ æ l
W I N T E R S T E E N	w ɪ n t ɝ s t i n
W I N T E R S T E I N	w ɪ n t ɝ s t aɪ n
W I N T E R S T E I N	w ɪ n t ɝ s t i n
W I N T E R T H U R	w ɪ n t ɝ θ ɝ
W I N T E R T I M E	w ɪ n t ɝ t aɪ m
W I N T E R T O N	w ɪ n t ɝ t ʌ n
W I N T H E R	w ɪ n θ ɝ
W I N T H R O P	w ɪ n θ ɹ ʌ p
W I N T H R O P S	w ɪ n θ ɹ ʌ p s
W I N T L E	w ɪ n t ʌ l
W I N T O M	w ɪ n t ʌ m
W I N T O N	w ɪ n t ʌ n
W I N T O U R	w ɪ n t ʊ ɹ
W I N T R Y	w ɪ n t ɹ i
W I N T Z	w ɪ n t s
W I N T Z E R	w ɪ n t s ɝ
W I N W A R D	w ɪ n w ɝ d
W I N W O O D	w ɪ n w ʊ d
W I N W O O D S	w ɪ n w ʊ d z
W I N W O R D	w ɪ n w ɝ d
W I N Z E L E R	w ɪ n z ʌ l ɝ
W I N Z E R	w ɪ n z ɝ
W I O N	w aɪ ʌ n
W I P E	w aɪ p
W I P E D	w aɪ p t
W I P E O U T	w aɪ p aʊ t
W I P E R	w aɪ p ɝ
W I P E R S	w aɪ p ɝ z
W I P E S	w aɪ p s
W I P F	w ɪ p f
W I P I N G	w aɪ p ɪ ŋ
W I P P E R F U R T H	w ɪ p ɝ f ɝ θ
W I R E	w aɪ ɝ
W I R E	w aɪ ɹ
W I R E D	w aɪ ɝ d
W I R E D	w aɪ ɹ d
W I R E L E S S	w aɪ ɹ l ɪ s
W I R E L E S S ' S	w aɪ ɝ l ʌ s ɪ z
W I R E L I N E	w aɪ ɹ l aɪ n
W I R E M A N	w aɪ ɹ m ʌ n
W I R E S	w aɪ ɝ z
W I R E S	w aɪ ɹ z
W I R E T A P	w aɪ ɝ t æ p
W I R E T A P P E D	w aɪ ɝ t æ p t
W I R E T A P P I N G	w aɪ ɝ t æ p ɪ ŋ
W I R E T A P S	w aɪ ɹ t æ p s
W I R I C K	w ɪ ɹ ɪ k
W I R I N G	w aɪ ɹ ɪ ŋ
W I R K K A L A	v ɝ k ɑ l ʌ
W I R K U S	w ɝ k ɪ s
W I R S I N G	w ɝ s ɪ ŋ
W I R T	w ɝ t
W I R T A N E N	w ɝ t ʌ n ʌ n
W I R T H	w ɝ θ
W I R T H L I N	w ɝ θ l ɪ n
W I R T Z	w ɝ t s
W I R Y	w ɪ ɹ i
W I R Z	w ɝ z
W I S	w ɪ s
W I S B Y	w ɪ s b i
W I S C H	w ɪ ʃ
W I S C H M E Y E R	w ɪ ʃ m aɪ ɝ
W I S C O N S I N	w ɪ s k ɑ n s ʌ n
W I S C O N S I N S	w ɪ s k ɑ n s ʌ n z
W I S D O M	w ɪ z d ʌ m
W I S E	w aɪ z
W I S E C A R V E R	w aɪ z k ɑ ɹ v ɝ
W I S E C R A C K	w aɪ z k ɹ æ k
W I S E C R A C K I N G	w aɪ z k ɹ æ k ɪ ŋ
W I S E C R A C K S	w aɪ z k ɹ æ k s
W I S E C U P	w aɪ z k ʌ p
W I S E D	w aɪ z d
W I S E G U Y	w aɪ z ɡ aɪ
W I S E H A R T	w aɪ z h ɑ ɹ t
W I S E L	w aɪ z ʌ l
W I S E L E Y	w ɪ s ɪ l i
W I S E L E Y	w aɪ z l i
W I S E L Y	w aɪ z l i
W I S E M A N	w aɪ z m ʌ n
W I S E N B A K E R	w aɪ z ʌ n b eɪ k ɝ
W I S E N E R	w ɪ s i n ɝ
W I S E R	w aɪ z ɝ
W I S E S T	w aɪ z ʌ s t
W I S H	w ɪ ʃ
W I S H A M	w ɪ ʃ ʌ m
W I S H A R D	w ɪ ʃ ɝ d
W I S H A R T	w ɪ ʃ ɑ ɹ t
W I S H B O N E	w ɪ ʃ b oʊ n
W I S H E D	w ɪ ʃ t
W I S H E R	w ɪ ʃ ɝ
W I S H E R S	w ɪ ʃ ɝ z
W I S H E S	w ɪ ʃ ɪ z
W I S H F U L	w ɪ ʃ f ʌ l
W I S H F U L L Y	w ɪ ʃ f ʌ l i
W I S H I N G	w ɪ ʃ ɪ ŋ
W I S H N E R	w ɪ ʃ n ɝ
W I S H N I C K	w ɪ ʃ n ɪ k
W I S H O N	w ɪ ʃ ʌ n
W I S H Y	w ɪ ʃ i
W I S I N S K I	v ɪ s ɪ n s k i
W I S L E R	w ɪ s ʌ l ɝ
W I S L E R	w ɪ s l ɝ
W I S L E Y	w ɪ z l i
W I S M A N	w ɪ z m ʌ n
W I S M E R	w ɪ z ʌ m ɝ
W I S N E R	w ɪ s n ɝ
W I S N E S K I	v ɪ s n ɛ s k i
W I S N E W S K I	v ɪ s n ɛ f s k i
W I S N I E S K I	v ɪ s n i s k i
W I S N I E W S K I	w ɪ z n i ɛ f s k i
W I S O R	w aɪ z ɝ
W I S P	w ɪ s p
W I S P Y	w ɪ s p i
W I S S	w ɪ s
W I S S A	w ɪ s ʌ
W I S S E L	w ɪ s ʌ l
W I S S E R	w ɪ s ɝ
W I S S I N G	w ɪ s ɪ ŋ
W I S S I N G E R	w ɪ s ɪ ŋ ɝ
W I S S I N K	w ɪ s ɪ ŋ k
W I S S L E R	w ɪ s l ɝ
W I S S M A N	w ɪ s m ʌ n
W I S S M A N N	w ɪ s m ʌ n
W I S S N E R	w ɪ s n ɝ
W I S T	w ɪ s t
W I S T F U L	w ɪ s t f ʌ l
W I S T F U L L Y	w ɪ s t f ʌ l i
W I S T F U L N E S S	w ɪ s t f ʌ l n ʌ s
W I S W E L L	w ɪ s w ɛ l
W I S Z	v ɪ ʃ
W I T	w ɪ t
W I T S	w ɪ t s
W I T B E C K	w ɪ t b ɛ k
W I T B R O C K	w ɪ t b ɹ ɔ k
W I T C H	w ɪ tʃ
W I T C H S	w ɪ tʃ ɪ z
W I T C H C R A F T	w ɪ tʃ k ɹ æ f t
W I T C H E R	w ɪ tʃ ɝ
W I T C H E S	w ɪ tʃ ʌ z
W I T C H E S	w ɪ tʃ ɪ z
W I T C H E Y	w ɪ tʃ i
W I T C H H U N T	w ɪ tʃ h ʌ n t
W I T C H I N G	w ɪ tʃ ɪ ŋ
W I T C H Y	w ɪ tʃ i
W I T C O	w ɪ t k oʊ
W I T C Z A K	v ɪ t tʃ æ k
W I T E K	v ɪ t ɛ k
W I T H	w ɪ ð
W I T H	w ɪ θ
W I T H	w ɪ θ
W I T H	w ɪ ð
W I T H A M	w ɪ θ ʌ m
W I T H D R A W	w ɪ ð d ɹ ɔ
W I T H D R A W	w ɪ θ d ɹ ɔ
W I T H D R A W A L	w ɪ ð d ɹ ɔ ʌ l
W I T H D R A W A L	w ɪ θ d ɹ ɔ ʌ l
W I T H D R A W A L S	w ɪ θ d ɹ ɔ ʌ l z
W I T H D R A W A L S	w ɪ ð d ɹ ɔ ʌ l z
W I T H D R A W I N G	w ɪ θ d ɹ ɔ ɪ ŋ
W I T H D R A W I N G	w ɪ ð d ɹ ɔ ɪ ŋ
W I T H D R A W N	w ɪ θ d ɹ ɔ n
W I T H D R A W N	w ɪ ð d ɹ ɔ n
W I T H D R A W S	w ɪ ð d ɹ ɔ z
W I T H D R A W S	w ɪ θ d ɹ ɔ z
W I T H D R E W	w ɪ θ d ɹ u
W I T H D R E W	w ɪ ð d ɹ u
W I T H E	w ɪ θ
W I T H E E	w ɪ θ i
W I T H E M	w ɪ θ ɪ m
W I T H E R	w ɪ ð ɝ
W I T H E R E D	w ɪ ð ɝ d
W I T H E R E L L	w ɪ θ ɝ ʌ l
W I T H E R I N G	w ɪ ð ɝ ɪ ŋ
W I T H E R I N G T O N	w ɪ θ ɝ ɪ ŋ t ʌ n
W I T H E R O W	w ɪ θ ɝ oʊ
W I T H E R S	w ɪ ð ɝ z
W I T H E R S P O O N	w ɪ ð ɝ s p u n
W I T H E Y	w ɪ θ i
W I T H H E L D	w ɪ θ h ɛ l d
W I T H H O L D	w ɪ θ h oʊ l d
W I T H H O L D I N G	w ɪ θ h oʊ l d ɪ ŋ
W I T H H O L D S	w ɪ θ h oʊ l d z
W I T H I N	w ɪ ð ɪ n
W I T H I N	w ɪ θ ɪ n
W I T H I N G T O N	w ɪ θ ɪ ŋ t ʌ n
W I T H N A I L	w ɪ θ n eɪ l
W I T H O U T	w ɪ θ aʊ t
W I T H O U T	w ɪ ð aʊ t
W I T H R O W	w ɪ θ ɹ oʊ
W I T H S T A N D	w ɪ θ s t æ n d
